NBC	1.9444	1.0272	3.6806	2.9	2.9
Kraken	1.8569	1.1806	2.9206	5.7	5.7
CLARK	1.8494	1.1749	2.9111	5.6	5.6
OneCodex	1.8033	1.1464	2.8368	5.7	5.7
LMAT	1.7562	1.062	2.9044	4.6	4.6
MEGAN	1.7205	1.0785	2.7446	5.3	5.3
MG-RAST	1.7128	1.0702	2.7413	5.3	5.3
GOTTCHA	1.6893	1.0239	2.7871	4.6	4.6
phymmBL	1.6827	0.897	3.1567	2.9	2.9
QIIME2	1.682	0.9392	3.0123	3.4	3.4
CARMA3	1.6799	0.9124	3.0932	3.1	3.1
Genometa	1.6406	0.9955	2.7039	4.7	4.7
taxator-tk	1.6366	0.9933	2.6966	4.7	4.7
BMP	1.6249	0.9716	2.7173	4.4	4.4
mothur	1.5591	0.9586	2.5359	4.9	4.9
MAPseq	1.5584	0.8767	2.7699	3.5	3.5
QIIME	1.411	0.8999	2.2124	5.7	5.7
RAIphy	1.3697	0.7439	2.5222	3.1	3.1
Treephyler	1.248	0.5448	2.8588	1.7	1.7
MLTreeMap	1.2062	0.5148	2.8261	1.6	1.6
MetaPhlAn	1.0928	0.6554	1.8223	4.4	4.4
MetaPhyler	1.0791	0.6676	1.7441	5	5
PhyloPythiaS	1.0472	0.5546	1.9772	2.9	2.9
mOTU	1.0021	0.5949	1.688	4.3	4.3
